localization_key,English_display,English_reference,preserved_tokens,strong_preserved_tokens,preserved_in_languages,available_languages,strong_threshold,very_strong_threshold,max_language_preservation,source_score,direct_reference_diff,signal_languages,discovery_reasons
stal_stalker_ty_ses_prost_MED0,"Te egészen más vagy. Rendszerint csak kedvem töltöm az asszonyi állattal és már megyek is tovább, de téged meg akarlak ismerni. Hát nem érted?","Te egészen más vagy. Rendszerint csak kedvem töltöm az asszonyi állattal és már megyek is tovább, de téged meg akarlak ismerni. Hát nem érted?",Te; egészen; más; vagy; Rendszerint; csak; kedvem; töltöm; az; asszonyi; állattal; és; már; megyek; is; tovább; de; téged; meg; akarlak; ismerni; Hát; nem; érted,egészen; más; vagy; rendszerint; csak; kedvem; töltöm; asszonyi; állattal; már; megyek; tovább; téged; meg; akarlak; ismerni; hát; nem; érted,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,14,244,no,hungarian,two_strong_preserved_tokens; signal_support
ulri_event_tab_gut_gut_es_bBId,"Gut, gut, es ist nicht wichtig, doch wir saßen auf einem Stein, und schlugen ein Bein über das andre Bein …","Gut, gut, es ist nicht wichtig, doch Wir saß auf einem Felsenstein, und schlug ein Bein über das andre Bein...",Gut; gut; es; ist; nicht; wichtig; doch; wir; saßen; auf; einem; Stein; und; schlugen; ein; Bein; über; das; andre,gut; ist; nicht; wichtig; doch; wir; sassen; auf; einem; stein; und; schlugen; ein; bein; über; das; andre,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian,15,6,9,28,227,yes,german,two_strong_preserved_tokens; english_reference_differs; signal_support
goss_lapka_mlu_protoze_sm_OOZq,"Mert te mindig büdös vagy, tök mindegy, hogy mit zabálsz. Szerezz valami más kaját és akkor majd jobb lesz.","Mert te mindig büdös vagy, tök mindegy, hogy mit zabálsz. Szerezz valami más kaját és akkor majd jobb lesz.",Mert; te; mindig; büdös; vagy; tök; mindegy; hogy; mit; zabálsz; Szerezz; valami; más; kaját; és; akkor; majd; jobb; lesz,mert; mindig; büdös; vagy; tök; mindegy; hogy; mit; zabálsz; szerezz; valami; más; kaját; akkor; majd; jobb; lesz,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,14,220,no,hungarian,two_strong_preserved_tokens; signal_support
ulri_event_tab_du_weit_wi_VziM,"Du weißt, wie man kämpft. Doch mit Gedichten gewinnt man das Herz einer Frau leichter als mit einem Schwert!",Du weißt wie man kämpf. Doch mit Gedichten gewinnt man das Herz einer Frau leichter als mit einem Schwert!,Du; weißt; wie; man; kämpft; Doch; mit; Gedichten; gewinnt; das; Herz; einer; Frau; leichter; als; einem; Schwert,weisst; wie; man; kämpft; doch; mit; gedichten; gewinnt; das; herz; einer; frau; leichter; als; einem; schwert,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian,15,6,9,28,217,yes,german; hungarian,two_strong_preserved_tokens; english_reference_differs; signal_support
lore_event_tab_ja_ja_das__EplN,"Ja, ja, das ist eine schwere Zeit. Zoll, Gebühren, Schmiergelder, dieses Land ist beschissen, aber das kann man nicht verstehen.","Ja, ja, das ist eine schwere Zeit. Pflichten, Gebühren, Schmiergelder, dieses Land ist beschissen, aber das kann man nicht verstehen.",Ja; ja; das; ist; eine; schwere; Zeit; Zoll; Gebühren; Schmiergelder; dieses; Land; beschissen; aber; kann; man; nicht; verstehen,das; ist; eine; schwere; zeit; zoll; gebühren; schmiergelder; dieses; land; beschissen; aber; kann; man; nicht; verstehen,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,30,215,yes,german,two_strong_preserved_tokens; english_reference_differs; signal_support
goss_gossip_ha_drbu_se_s__mP5H,"I use them to scratch my arse, what d'you think? Anyways, I paid three times more than last year, mind. Fucking radge!","I use them to scratch my arse, what d'you think? Anyway… I'll tell you, I paid three times more than last year.",I; use; them; to; scratch; my; arse; what; d'you; think; Anyways; paid; three; times; more; than; last; year; mind; Fucking; radge,use; scratch; arse; d'you; think; anyways; paid; three; times; more; than; last; year; mind; fucking; radge,Chineses; Chineset; French; Italian; Japanese; Korean; Portuguese; Spanish; Ukrainian,15,6,9,18,213,yes,,two_strong_preserved_tokens; english_reference_differs
goss_lapka_mlu_tak_ve_vod_DrV2,"Bokáig érő vízben nem lehet megfulladni. Meg különben is, nekünk régen volt otthon disznónk, amikor kicsi voltam.","Bokáig érő vízben nem lehet megfulladni. Meg különben is, nekünk régen volt otthon disznónk, amikor kicsi voltam.",Bokáig; érő; vízben; nem; lehet; megfulladni; Meg; különben; is; nekünk; régen; volt; otthon; disznónk; amikor; kicsi; voltam,bokáig; érő; vízben; nem; lehet; megfulladni; meg; különben; nekünk; régen; volt; otthon; disznónk; amikor; kicsi; voltam,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,14,208,no,hungarian,two_strong_preserved_tokens; signal_support
ulri_event_tab_gott_zum_g_D7ro,"Gott zum Gruße, mein Freund! Ulrich von Remold, ein Dichter und ein Pilger im Land der Narren.","Gott zum Gruße, mein Freund! Ulrich von Remold, ein dichter und ein Pilger im Land der Narren.",Gott; zum; Gruße; mein; Freund; Ulrich; von; Remold; ein; Dichter; und; Pilger; im; Land; der; Narren,gott; zum; grusse; mein; freund; ulrich; von; remold; ein; dichter; und; pilger; land; der; narren,Chineses; Chineset; Czech; French; German; Italian; Japanese; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,28,198,no,german,two_strong_preserved_tokens; signal_support
sam__rabin_ted_se_asi_puj_pNIk,"Ha-shem hot nisht unts haytn geshtroft, ba-avonouseynu ha-rabim. Andersh voltn mir nisht fun dem shtot antrinen.","Ha-shem hot nisht unts haytn geshtroft, ba-avonouseynu ha-rabim. Andersh voltn mir nisht fun dem shtot antrinen.",Ha-shem; hot; nisht; unts; haytn; geshtroft; ba-avonouseynu; ha-rabim; Andersh; voltn; mir; fun; dem; shtot; antrinen,ha-shem; hot; nisht; unts; haytn; geshtroft; ba-avonouseynu; ha-rabim; andersh; voltn; mir; fun; dem; shtot; antrinen,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,24,198,no,yiddish_hebrew,two_strong_preserved_tokens; signal_support
menh_menhart_z_ja_gutes_s_a2uP,"Ja gutes Schwerdt frei bin ich, und liebe dich herzinnig, als wärst du mir getraut, als eine liebe Braut.","Ja gutes Schwerdt frei bin ich, und liebe dich herzinnig, als wärst du mir getraut, als eine liebe Braut.",Ja; gutes; Schwerdt; frei; bin; ich; und; liebe; dich; herzinnig; als; wärst; du; mir; getraut; eine; Braut,gutes; schwerdt; frei; bin; ich; und; liebe; dich; herzinnig; als; wärst; mir; getraut; eine; braut,Chineses; Chineset; Czech; French; German; Italian; Korean; Polish; Portuguese; Russian; Spanish; Turkish; Ukrainian; Vietnamese,15,6,9,28,198,no,german,two_strong_preserved_tokens; signal_support
